ano,sigla_uf,id_municipio,nome,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao
2019,PB,2509701,Monteiro,estadual,medio,todos (1-4),89.0,0.90049398,254.75,257.85,4.1276431,3.7,3.1
2019,PB,2514107,São João do Tigre,estadual,medio,todos (1-4),92.1,0.92592299,252.39,250.11,3.9787691,3.7,3.4
2019,PB,2506400,Gurinhém,publica,medio,todos (1-4),89.6,0.89743203,231.47,234.82,3.4557669,3.1,2.7
2021,PB,2504306,Catolé do Rocha,estadual,medio,todos (1-4),97.8,0.977527,266.62,277.26,4.584776,4.5,
2017,PB,2501203,Areial,estadual,medio,todos (1-4),68.3,0.716645,251.6,266.5,4.2127428,3.0,
2017,PB,2509206,Massaranduba,publica,medio,todos (1-4),90.3,0.899113,231.17,224.99,3.304538,3.0,
2017,PB,2502300,Bom Sucesso,publica,medio,todos (1-4),81.5,0.820198,235.44,236.61,3.538471,2.9,
2017,PB,2511301,Piancó,estadual,medio,todos (1-4),65.6,0.66629797,238.27,230.52,3.487051,2.3,
2017,PB,2514453,São José dos Ramos,publica,medio,todos (1-4),79.3,0.77967203,214.99,220.24,3.006043,2.3,
2017,PB,2513802,Santa Teresinha,estadual,medio,todos (1-4),89.2,0.89022499,255.22,253.08,4.0626879,3.6,
2019,PB,2515971,Sobrado,estadual,medio,todos (1-4),62.8,0.65440798,268.61,270.95,4.5185542,3.0,3.1
2019,PB,2513927,São Bentinho,publica,medio,todos (1-4),82.8,0.81654203,283.91,281.47,4.8906369,4.0,3.9
2019,PB,2504033,Capim,estadual,medio,todos (1-4),67.4,0.69220501,230.91,232.91,3.4194491,2.4,3.1
2019,PB,2507903,Juripiranga,estadual,medio,todos (1-4),81.8,0.83205998,253.3,256.17,4.0819788,3.4,2.7
2019,PB,2500700,São João do Rio do Peixe,estadual,medio,todos (1-4),84.6,0.88213402,266.51,260.07,4.326036,3.8,3.1
2019,PB,2514552,São José de Princesa,estadual,medio,todos (1-4),83.8,0.86350298,269.79,265.35,4.4511552,3.8,3.5
2019,PB,2501302,Aroeiras,publica,medio,todos (1-4),90.3,0.90908998,244.49,255.94,3.9549489,3.6,3.1
2019,PB,2512309,Princesa Isabel,estadual,medio,todos (1-4),76.2,0.74781299,279.36,277.92,4.7738791,3.6,3.6
2021,PB,2501401,Baía da Traição,publica,medio,todos (1-4),95.2,0.952319,233.06,234.29,3.470164,3.3,
2021,PB,2502508,Boqueirão,estadual,medio,todos (1-4),99.8,0.998663,250.81,260.36,4.109731,4.1,
2021,PB,2511004,Pedra Branca,estadual,medio,todos (1-4),96.3,0.961014,260.04,267.77,4.350294,4.2,
2021,PB,2511202,Pedras de Fogo,publica,medio,todos (1-4),100.0,1.0,243.15,248.0,3.817117,3.8,
2021,PB,2511707,Pilõezinhos,publica,medio,todos (1-4),97.3,0.974214,236.77,239.68,3.60296,3.5,
2017,PB,2509370,Mato Grosso,publica,medio,todos (1-4),77.4,0.780734,252.42,241.75,3.8538909,3.0,
2017,PB,2509800,Mulungu,publica,medio,todos (1-4),84.3,0.85391903,223.6,227.61,3.237299,2.8,
2017,PB,2510006,Nazarezinho,publica,medio,todos (1-4),71.0,0.74059802,251.83,241.49,3.841572,2.8,
2017,PB,2500502,Alagoinha,estadual,medio,todos (1-4),75.9,0.76863998,257.82,260.19,4.2057819,3.2,
